,real_time,WT_Runcode,iGenPower,iGenSpeed,iTemp1GearOil_1sec,iTempGearBearDE_1sec,iTempGearBearNDE_1sec,iTempNacelle_1sec,iWindSpeed
264,2017-11-15 08:17:24,3,2047,1755,58.0,59.5,62.6,16.5,12.54
265,2017-11-15 08:17:25,3,2044,1748,58.0,59.5,62.6,16.5,12.27
266,2017-11-15 08:17:26,3,2049,1740,58.0,59.5,62.6,16.5,11.81
267,2017-11-15 08:17:27,3,2043,1736,58.0,59.5,62.6,16.5,12.29
268,2017-11-15 08:17:28,3,2041,1730,58.0,59.5,62.6,16.5,11.74
269,2017-11-15 08:17:29,3,1998,1730,58.0,59.5,62.6,16.5,11.79
270,2017-11-15 08:17:30,3,1990,1737,58.0,59.5,62.6,16.5,11.65
271,2017-11-15 08:17:31,3,2033,1744,58.0,59.5,62.6,16.6,11.44
272,2017-11-15 08:17:32,3,2059,1751,58.0,59.5,62.6,16.5,11.78
273,2017-11-15 08:17:33,3,2060,1758,58.0,59.5,62.6,16.5,11.76
274,2017-11-15 08:17:34,3,2051,1756,58.0,59.6,62.6,16.5,11.47
275,2017-11-15 08:17:35,3,2049,1752,58.0,59.6,62.6,16.5,12.38
276,2017-11-15 08:17:36,3,2043,1747,58.0,59.5,62.6,16.5,11.38
277,2017-11-15 08:17:37,3,2053,1746,58.0,59.5,62.6,16.5,10.94
278,2017-11-15 08:17:38,3,2059,1743,58.0,59.5,62.6,16.5,11.41
279,2017-11-15 08:17:39,3,2051,1744,58.0,59.5,62.6,16.5,12.2
280,2017-11-15 08:17:40,3,2067,1748,58.0,59.5,62.6,16.5,11.47
281,2017-11-15 08:17:41,3,2057,1749,58.0,59.6,62.6,16.5,11.91
282,2017-11-15 08:17:42,3,2049,1749,58.0,59.5,62.6,16.5,12.25
283,2017-11-15 08:17:43,3,2059,1752,58.0,59.6,62.6,16.6,10.04
284,2017-11-15 08:17:44,3,2056,1751,58.0,59.5,62.6,16.5,11.35
285,2017-11-15 08:17:45,3,2040,1746,58.0,59.5,62.6,16.5,12.53
286,2017-11-15 08:17:46,3,2055,1744,58.0,59.6,62.6,16.5,11.35
287,2017-11-15 08:17:47,3,2049,1741,58.0,59.6,62.6,16.5,10.98
288,2017-11-15 08:17:48,3,2037,1734,58.0,59.6,62.6,16.5,11.26
289,2017-11-15 08:17:49,3,2014,1736,58.0,59.6,62.6,16.5,11.02
290,2017-11-15 08:17:50,3,1988,1738,58.0,59.5,62.6,16.5,12.34
291,2017-11-15 08:17:51,3,1992,1740,58.0,59.6,62.6,16.5,10.72
292,2017-11-15 08:17:52,3,2029,1745,58.0,59.5,62.6,16.5,11.25
293,2017-11-15 08:17:53,3,2046,1746,58.0,59.5,62.6,16.5,12.32
294,2017-11-15 08:17:54,3,2046,1746,58.1,59.5,62.6,16.5,12.18
295,2017-11-15 08:17:55,3,2052,1745,58.1,59.5,62.6,16.5,12.68
296,2017-11-15 08:17:56,3,2031,1744,58.0,59.6,62.6,16.5,10.91
297,2017-11-15 08:17:57,3,2014,1742,58.0,59.6,62.6,16.5,11.2
298,2017-11-15 08:17:58,3,2013,1745,58.0,59.6,62.6,16.5,10.98
299,2017-11-15 08:17:59,3,1996,1741,58.0,59.6,62.6,16.5,9.91
300,2017-11-15 08:18:00,3,1992,1744,58.1,59.6,62.6,16.5,11.88
301,2017-11-15 08:18:01,3,2000,1743,58.1,59.6,62.6,16.5,10.4
302,2017-11-15 08:18:02,3,2010,1746,58.0,59.6,62.6,16.6,11.07
303,2017-11-15 08:18:03,3,1995,1744,58.1,59.6,62.6,16.5,10.87
304,2017-11-15 08:18:04,3,2014,1746,58.1,59.5,62.6,16.5,10.36
305,2017-11-15 08:18:05,3,2033,1749,58.1,59.5,62.6,16.5,11.82
306,2017-11-15 08:18:06,3,2042,1750,58.1,59.6,62.6,16.5,9.62
307,2017-11-15 08:18:07,3,2063,1754,58.1,59.6,62.6,16.5,10.38
308,2017-11-15 08:18:08,3,2056,1758,58.0,59.6,62.6,16.5,11.17
309,2017-11-15 08:18:09,3,2053,1758,58.1,59.6,62.6,16.5,10.24
